FIPS,POPULATION,HOUSEHOLDS,RENTER_OCC,SQMI,renterRate,popDensity
060371371041,1976.000000,712.000000,98.000000,0.740000,0.137640,2670.270270
060371331003,996.000000,316.000000,62.000000,0.150000,0.196203,6640.000000
060371349042,1235.000000,348.000000,85.000000,0.160000,0.244253,7718.750000
060371331004,1202.000000,372.000000,182.000000,0.110000,0.489247,10927.272727
060371325022,1435.000000,480.000000,123.000000,0.110000,0.256250,13045.454545
060371397024,2671.000000,967.000000,43.000000,2.450000,0.044467,1090.204082
060378001022,2513.000000,956.000000,295.000000,3.980000,0.308577,631.407035
060372624002,2006.000000,795.000000,59.000000,3.670000,0.074214,546.594005
060379800191,181.000000,83.000000,22.000000,16.910000,0.265060,10.703726
060376703281,855.000000,299.000000,37.000000,0.250000,0.123746,3420.000000
060376703262,1763.000000,607.000000,39.000000,0.840000,0.064250,2098.809524
060376702012,2482.000000,969.000000,155.000000,1.290000,0.159959,1924.031008
060376704072,1648.000000,609.000000,250.000000,0.120000,0.410509,13733.333333
060376703244,1640.000000,652.000000,188.000000,0.710000,0.288344,2309.859155
060376514012,1443.000000,499.000000,211.000000,0.140000,0.422846,10307.142857
060376513041,864.000000,394.000000,246.000000,0.090000,0.624365,9600.000000
060376213261,830.000000,537.000000,496.000000,0.130000,0.923650,6384.615385
060376512014,1069.000000,396.000000,52.000000,0.130000,0.131313,8223.076923
060376513045,891.000000,372.000000,67.000000,0.110000,0.180108,8100.000000
060376513024,786.000000,277.000000,27.000000,0.090000,0.097473,8733.333333
060376704131,2195.000000,781.000000,103.000000,0.360000,0.131882,6097.222222
060376513042,1032.000000,441.000000,142.000000,0.100000,0.321995,10320.000000
060376513022,1719.000000,651.000000,62.000000,0.310000,0.095238,5545.161290
060376514024,983.000000,383.000000,209.000000,0.070000,0.545692,14042.857143
060376512011,904.000000,307.000000,40.000000,0.110000,0.130293,8218.181818
060376512015,1193.000000,376.000000,46.000000,0.180000,0.122340,6627.777778
060376703242,1130.000000,398.000000,30.000000,0.200000,0.075377,5650.000000
060376704071,2887.000000,1033.000000,636.000000,0.120000,0.615682,24058.333333
060376703261,1588.000000,561.000000,34.000000,0.500000,0.060606,3176.000000
060376508003,3376.000000,1317.000000,438.000000,0.180000,0.332574,18755.555556
